pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.92980573,307.2696393886054,2.2225097641526332,62.20106662180035,51.60385333705285,17,37,38,48
-0.001,10.0,3.441270064066758,87.66580969749296,52.54108324489392,2,56,39,38
-0.001,10.0,2.795342040124229,52.602410241089714,50.98385309621393,15,9,2,50
-0.001,10.0,2.8007406850274497,99.65280546840576,54.27147845032321,55,33,55,43
-0.001,10.0,4.811103821226281,94.89529851890353,59.26782868187689,56,38,26,50
-0.001,10.0,4.07068771354799,61.19134080704762,51.00860252589637,38,16,18,49
-0.001,10.0,4.788440277338395,94.77524169310689,54.37330654340795,29,31,27,31
-0.001,10.0,3.727069595025481,84.97367708989702,52.983225260623925,23,15,50,44
-0.001,10.0,4.721516942098286,71.26754026881858,53.629639474777626,18,2,17,33
-0.001,10.0,4.512284362755992,59.805874420217755,57.71485823648769,14,13,45,31
-0.001,10.0,4.99352938365074,60.0105713989344,54.35043152086521,32,56,15,38
-0.001,10.0,3.509310508633681,79.7037188641748,56.503932919261054,44,5,43,33
-0.001,10.0,4.088378371780687,70.80306465953537,59.721974489102855,6,48,7,34
-0.001,10.0,2.482007446266109,79.7602921277674,56.16460772544252,28,33,17,40
-0.001,10.0,4.818476170622331,66.5127778654965,53.37388765995507,54,32,19,33
-0.001,10.0,3.196242629915286,61.503725825395065,53.97655700101707,52,53,27,33
-0.950140325,338.47993044415557,2.4200995296064196,87.16481927912997,59.42974154776164,16,17,33,38
-0.001,10.0,3.0335052014584076,72.58653789283575,59.27441291043043,1,6,40,40
-0.001,10.0,3.481988784581979,78.38913165594532,59.16146449447332,55,31,23,46
-0.001,10.0,3.8511082569307495,59.765841342109965,56.69795158502597,14,13,45,31
-0.001,10.0,4.516021891823084,98.7287026158238,57.48518214089641,16,58,29,41
-0.001,10.0,3.4064419915058117,79.65501228585914,56.59380617965306,46,4,43,33
-0.001,10.0,3.520468800211475,94.77524169310689,54.10779181228061,29,31,27,31
-0.001,10.0,4.9314626124387075,87.66580969749296,52.519429558863166,2,56,39,38
-0.001,10.0,4.568173766038745,79.72746168620064,52.983225260623925,23,15,50,44
-0.001,10.0,3.937561590970258,50.07002322812517,51.22492615661709,19,35,21,43
-0.001,10.0,4.423790465849343,61.187948408513826,52.824695984165466,14,13,45,31
-0.001,10.0,4.921855668706981,98.7287026158238,58.78724105514229,16,56,39,41
-0.001,10.0,3.7181092132795595,84.97367708989702,57.873380935757496,23,15,50,44
-0.001,10.0,3.8287753804049407,51.04260542635475,51.872121374027095,19,35,21,43
-0.001,10.0,4.9670031904888825,93.76237745245936,54.35043152086521,15,4,28,41
-0.001,10.0,4.571687797117718,58.12052123579509,57.48518214089641,32,56,11,38
-0.001,10.0,2.769490693831841,61.83995392680728,54.5660102734121,48,12,8,35
-0.001,10.0,3.8267063945704667,59.17262651033249,54.31152558818465,19,41,21,43
-0.001,10.0,4.896497775564833,93.76237745245936,54.114517015402356,15,4,28,41
-0.001,10.0,4.983007345025652,56.5896068286785,54.21268353548521,28,55,18,32
