pureza,reboiler,x1,x2,x3,x4,x5
-0.952380859,90.79932084336001,0.15359749932846561,5.795006272679926,3,15,34
-0.952359125,47.7886397094,0.2872393914973238,3.3258642863207744,3,8,34
-0.948223583,18.321754201308,0.20037087003266152,1.8970401517387163,3,13,32
-0.369786717,7.071754607676,0.6503002732661224,2.1173525528890806,3,1,30
-0.952380949,157.81557662172,0.4629693516384265,8.17406433837353,3,14,29
-0.147103891,1.3105771479432,0.18680670428092974,1.8970401517387163,3,1,32
-0.744821392,8.81318029626,0.12984431111783984,1.0582637213799413,3,15,33
-0.395948309,7.597181218608,0.729727822924175,2.0645671923706703,3,1,34
-0.95238094,117.94552930476,0.19810863450532282,7.099119035994881,3,14,29
-0.369786717,7.071754607676,0.6503002732661224,2.1173525528890806,3,1,30
-0.948222622,18.023929993296,0.16814563980106917,1.8970401517387163,3,7,32
-0.952380731,80.65525082076,0.12984431111783984,5.308222501490345,3,15,33
-0.952359131,49.043502799920006,0.3401663920555445,3.3258642863207744,3,8,34
-0.952380859,90.79932084336001,0.15359749932846561,5.795006272679926,3,15,34
-0.147103891,1.3105771479432,0.18680670428092974,1.8970401517387163,3,1,32
-0.952380949,157.81557662172,0.4629693516384265,8.17406433837353,3,14,29
-0.744821392,8.81318029626,0.12984431111783984,1.0582637213799413,3,15,33
-0.446159825,8.703827737272,0.9060174426166336,1.9740146142739485,3,1,34
-0.95238094,115.36504913448,0.15643006603121037,7.099119035994881,3,15,29
-0.369786717,7.071754607676,0.6503002732661224,2.1173525528890806,3,1,30
-0.828093216,11.134090840788,0.18680670428092974,1.5362123791756583,3,16,33
-0.948222622,18.023929993296,0.16814563980106917,1.8970401517387163,3,7,32
-0.952380859,90.79932084336001,0.15359749932846561,5.795006272679926,3,15,34
-0.951168955,29.154641416596,0.6503002732661224,2.1780307494012465,3,9,29
-0.147103891,1.3105771479432,0.18680670428092974,1.8970401517387163,3,1,32
-0.952380949,157.81557662172,0.4629693516384265,8.17406433837353,3,14,29
-0.446159825,8.703827737272,0.9060174426166336,1.9740146142739485,3,1,34
-0.95238094,115.36504913448,0.15643006603121037,7.099119035994881,3,15,29
-0.744821295,8.802090635364,0.12739462353958259,1.0582637213799413,3,9,35
-0.952370552,53.57444854896001,0.3042714408334033,3.5919305163479285,3,7,29
-0.828093216,11.134090840788,0.18680670428092974,1.5362123791756583,3,16,33
-0.206259074,2.5322004377712,0.2828344800210184,2.0115943149365867,3,1,33
-0.948222622,18.023929993296,0.16814563980106917,1.8970401517387163,3,7,32
-0.952380794,85.13464073328001,0.15359749932846561,5.492124897009308,3,15,28
-0.952380949,157.81557662172,0.4629693516384265,8.17406433837353,3,14,29
-0.147103891,1.3105771479432,0.18680670428092974,1.8970401517387163,3,1,32
-0.446159825,8.703827737272,0.9060174426166336,1.9740146142739485,3,1,34
-0.744821295,8.802090635364,0.12739462353958259,1.0582637213799413,3,9,35
-0.95238094,115.18732198656,0.15355950601795365,7.099119035994881,3,15,29
-0.206259074,2.5322004377712,0.2828344800210184,2.0115943149365867,3,1,33
-0.828093216,11.134090840788,0.18680670428092974,1.5362123791756583,3,16,33
-0.952370552,53.57444854896001,0.3042714408334033,3.5919305163479285,3,7,29
-0.952380794,85.13464073328001,0.15359749932846561,5.492124897009308,3,15,28
-0.948222622,18.023929993296,0.16814563980106917,1.8970401517387163,3,7,32
-0.147103891,1.3105771479432,0.18680670428092974,1.8970401517387163,3,1,32
-0.952380949,156.28923765108001,0.4420025125260303,8.17406433837353,3,9,35
-0.446159825,8.703827737272,0.9060174426166336,1.9740146142739485,3,1,34
-0.744821295,8.802090635364,0.12739462353958259,1.0582637213799413,3,9,35
-0.277431047,3.4987238834724,0.4220890638360276,1.8970401517387163,3,1,32
-0.828093216,11.134090840788,0.18680670428092974,1.5362123791756583,3,16,33
